CIFAR-10
BIM, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.0571,3.0084,2,20.0,0.03,True
l2,0.0571,3.3415,6,20.0,0.01,True
l2,0.0575,3.4969,30,20.0,0.002,True
l2,0.0660,4.1519,7,20.0,0.01,True
l2,0.0746,4.1852,2,20.0,0.04,True
l2,0.0750,4.8734,8,20.0,0.01,True
l2,0.0753,5.2842,40,20.0,0.002,True
l2,0.0832,5.0178,3,20.0,0.03,True
l2,0.0838,5.7504,9,20.0,0.01,True
l2,0.0922,6.5053,10,20.0,0.01,True
l2,0.0925,7.2047,50,20.0,0.002,True
l2,0.1000,4.0742,1,20.0,0.1,True
l2,0.1077,6.8051,3,20.0,0.04,True
l2,0.1079,7.0493,4,20.0,0.03,True
l2,0.1091,9.0697,60,20.0,0.002,True
l2,0.1251,11.0346,70,20.0,0.002,True
l2,0.1304,9.0586,5,20.0,0.03,True
l2,0.1373,9.4250,4,20.0,0.04,True
l2,0.1402,13.1661,80,20.0,0.002,True
l2,0.1514,11.3344,6,20.0,0.03,True
l2,0.1546,15.4196,90,20.0,0.002,True
l2,0.1650,11.9893,5,20.0,0.04,True
l2,0.1661,13.4103,10,20.0,0.02,True
l2,0.1674,14.6314,20,20.0,0.01,True
l2,0.1687,17.5067,100,20.0,0.002,True
l2,0.1711,9.4472,2,20.0,0.1,True
l2,0.1716,13.3770,7,20.0,0.03,True
l2,0.1900,14.6980,6,20.0,0.04,True
l2,0.1904,15.4751,8,20.0,0.03,True
l2,0.1998,6.3943,1,20.0,0.2,True
l2,0.2093,17.5511,9,20.0,0.03,True
l2,0.2139,17.5511,7,20.0,0.04,True
l2,0.2272,19.5493,10,20.0,0.03,True
l2,0.2295,15.2198,3,20.0,0.1,True
l2,0.2309,22.5355,30,20.0,0.01,True
l2,0.2343,28.0750,150,20.0,0.002,True
l2,0.2372,20.1710,8,20.0,0.04,True
l2,0.2584,22.4356,9,20.0,0.04,True
l2,0.2790,24.7669,10,20.0,0.04,True
l2,0.2815,21.1146,4,20.0,0.1,True
l2,0.2836,26.6208,20,20.0,0.02,True
