CIFAR-10
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.6000,94.9041,600,0.6,0.02,False
l2,0.6000,95.1812,800,0.6,0.02,False
l2,0.6000,95.3412,1000,0.6,0.02,False
l2,0.6000,95.5011,1600,0.6,0.02,False
l2,0.6100,94.6269,400,0.61,0.02,False
l2,0.6100,95.0959,600,0.61,0.02,False
l2,0.6200,94.7548,400,0.62,0.02,False
l2,0.6200,95.2239,600,0.62,0.02,False
l2,0.6300,94.9147,400,0.63,0.02,False
l2,0.6300,95.3945,600,0.63,0.02,False
l2,0.6400,95.1919,400,0.64,0.02,False
l2,0.6400,95.5757,600,0.64,0.02,False
l2,0.6500,59.7974,200,0.65,0.002,False
l2,0.6500,90.2772,1000,0.65,0.002,False
l2,0.6500,95.3198,400,0.65,0.02,False
l2,0.6500,95.6610,600,0.65,0.02,False
l2,0.6600,95.4264,400,0.66,0.02,False
l2,0.6600,95.8422,600,0.66,0.02,False
l2,0.6700,95.6716,400,0.67,0.02,False
l2,0.6700,96.0128,600,0.67,0.02,False
l2,0.6800,95.7356,400,0.68,0.02,False
l2,0.6800,96.1301,600,0.68,0.02,False
l2,0.6900,95.8849,400,0.69,0.02,False
l2,0.6900,96.2367,600,0.69,0.02,False
l2,0.7000,60.3412,200,0.7,0.002,False
l2,0.7000,91.2687,1000,0.7,0.002,False
l2,0.7000,88.8273,800,0.7,0.002,False
l2,0.7000,84.8188,600,0.7,0.002,False
l2,0.7000,92.6119,1200,0.7,0.002,False
l2,0.7000,95.9382,400,0.7,0.02,False
l2,0.7000,96.2580,600,0.7,0.02,False
l2,0.7000,96.5458,800,0.7,0.02,False
l2,0.7000,96.6418,1000,0.7,0.02,False
l2,0.7000,96.6418,1000,0.7,0.02,False
l2,0.7100,96.0128,400,0.71,0.02,False
l2,0.7100,96.3220,600,0.71,0.02,False
l2,0.7200,96.2367,400,0.72,0.02,False
l2,0.7200,96.5672,600,0.72,0.02,False
l2,0.7300,96.2687,400,0.73,0.02,False
l2,0.7300,96.5778,600,0.73,0.02,False
l2,0.7400,96.3113,400,0.74,0.02,False
l2,0.7400,96.6525,600,0.74,0.02,False
l2,0.7500,60.8849,200,0.75,0.002,False
l2,0.7500,91.8443,1000,0.75,0.002,False
l2,0.7500,96.4606,400,0.75,0.02,False
l2,0.7500,96.8230,600,0.75,0.02,False
l2,0.7500,97.2495,1600,0.75,0.02,False
l2,0.7600,96.5991,400,0.76,0.02,False
l2,0.7600,96.8550,600,0.76,0.02,False
l2,0.7700,96.7591,400,0.77,0.02,False
l2,0.7700,97.0256,600,0.77,0.02,False
l2,0.7800,96.7910,400,0.78,0.02,False
l2,0.7800,97.0576,600,0.78,0.02,False
l2,0.7900,96.8124,400,0.79,0.02,False
l2,0.7900,97.1429,600,0.79,0.02,False
l2,0.8000,61.3646,200,0.8,0.002,False
l2,0.8000,92.3987,1000,0.8,0.002,False
l2,0.8000,90.0107,800,0.8,0.002,False
l2,0.8000,85.8955,600,0.8,0.002,False
l2,0.8000,93.8699,1200,0.8,0.002,False
l2,0.8000,96.9510,400,0.8,0.02,False
l2,0.8000,97.2495,600,0.8,0.02,False
l2,0.8000,97.3774,800,0.8,0.02,False
l2,0.8000,97.4520,1000,0.8,0.02,False
l2,0.8100,96.9829,400,0.81,0.02,False
l2,0.8100,97.2814,600,0.81,0.02,False
l2,0.8200,97.0469,400,0.82,0.02,False
l2,0.8200,97.3241,600,0.82,0.02,False
